book	chapter	part	date	title	conversation_id	original_path	extracted_file	sha256
진실대거짓	1	1	2026-08-03T01:55:54.968116+09:00	『진실 대 거짓』 제1장 「역사적 전망」	6a6f7673-5f8c-83e8-bced-ad40f463fd41	publish_site/conversations/2026-08-03_∞ºä∞ïñ-δîÇ-Ω▒░∞ºô-∞á£1∞₧Ñ-∞ù¡∞é¼∞áü-∞áäδº¥_6a6f76735f.md	01장_01_『진실 대 거짓』 제1장 「역사적 전망」_6a6f7673.md	14ce0ed0c25f5d6b3fc166503fba25345a1d5c1ba98013f304c15e52a5545f10
진실대거짓	5	1	2026-08-05T19:44:37.914906+09:00	『진실 대 거짓』 제5장 「진실의 본질적 구조」	6a731412-80c0-83ee-abc4-3d12409b5e05	publish_site/conversations/2026-08-05_∞ºä∞ïñ-δîÇ-Ω▒░∞ºô-∞á£5∞₧Ñ-∞ºä∞ïñ∞¥ÿ-δ│╕∞ºê∞áü-Ω╡¼∞í░_6a73141280.md	05장_01_『진실 대 거짓』 제5장 「진실의 본질적 구조」_6a731412.md	6bc638abfb27f3b687d967dfcf8fa9bbee8e33554cae610265db5fd7a718b176
진실대거짓	6	1	2026-08-06T09:42:15.012113+09:00	『진실 대 거짓』 제6장 「나타남 대 인과관계: 창조 대 진화」	6a73d85b-f524-83ee-978a-0d82ea0ae68f	publish_site/conversations/2026-08-06_∞ºä∞ïñ-δîÇ-Ω▒░∞ºô-∞á£6∞₧Ñ-δéÿφâÇδé¿-δîÇ-∞¥╕Ω│╝Ω┤ÇΩ│ä-∞░╜∞í░-δîÇ-∞ºäφÖö_6a73d85bf5.md	06장_01_『진실 대 거짓』 제6장 「나타남 대 인과관계_ 창조 대 진화」_6a73d85b.md	0cda91d6054887364f7b640ff3536e19765b71273376832daf7155780d77e17f
진실대거짓	7	1	2026-08-06T10:15:42.167023+09:00	『진실 대 거짓』 제7장 「진실의 생리학」	6a73e036-fe34-83ee-a28c-5ce511c0d66b	publish_site/conversations/2026-08-06_∞ºä∞ïñ-δîÇ-Ω▒░∞ºô-∞á£7∞₧Ñ-∞ºä∞ïñ∞¥ÿ-∞â¥δª¼φòÖ_6a73e036fe.md	07장_01_『진실 대 거짓』 제7장 「진실의 생리학」_6a73e036.md	35a15ace072598a78dbeaddb7eab29f817b996fbe47dc305ad94aeae3f56573f
진실대거짓	8	1	2026-08-06T15:32:17.790343+09:00	『진실 대 거짓』 제8장 「사실 대 허구: 실상과 환상」	6a742a5c-d834-83ee-9668-fccce96dfd50	publish_site/conversations/2026-08-06_∞ºä∞ïñ-δîÇ-Ω▒░∞ºô-∞á£8∞₧Ñ-∞é¼∞ïñ-δîÇ-φùêΩ╡¼-∞ïñ∞âüΩ│╝-φÖÿ∞âü_6a742a5cd8.md	08장_01_『진실 대 거짓』 제8장 「사실 대 허구_ 실상과 환상」_6a742a5c.md	638660293c0cc09c533ff1f4906680e5ca05bb8accb047cd2ae2df8b34412511
진실대거짓	8	2	2026-08-07T03:18:23.285532+09:00	『진실 대 거짓』 제8장 「사실 대 허구: 실상과 환상」	6a74cfbe-d5f8-83ee-b632-1abf597a4407	publish_site/conversations/2026-08-07_∞ºä∞ïñ-δîÇ-Ω▒░∞ºô-∞á£8∞₧Ñ-∞é¼∞ïñ-δîÇ-φùêΩ╡¼-∞ïñ∞âüΩ│╝-φÖÿ∞âü_6a74cfbed5.md	08장_02_『진실 대 거짓』 제8장 「사실 대 허구_ 실상과 환상」_6a74cfbe.md	da7ba608205fa49a4c50ae3a6d598b0e5c945cf026892b13aa552b8af923fde7
진실대거짓	16	1	2026-08-09T16:53:18.509572+09:00	진실 대 거짓 16장	6a7831d5-af7c-83e8-8fe4-4258bf3cfb83	publish_site/conversations/2026-08-09_∞ºä∞ïñ-δîÇ-Ω▒░∞ºô-16∞₧Ñ_6a7831d5af.md	16장_01_진실 대 거짓 16장_6a7831d5.md	5c76af794c3e2fe1f3259b479533b1b06f28dc56be6345dc9918b0d62443ae7c
현대인의의식수준	1	1	2026-07-24T22:54:41.867937+09:00	『현대인의 의식수준』 제1장 「해결책」	6a636e99-24d8-83e8-a0d0-72fa0eded36f	publish_site/conversations/2026-07-24_φÿäδîÇ∞¥╕∞¥ÿ-∞¥ÿ∞ï¥∞êÿ∞ñÇ-∞á£1∞₧Ñ-φò┤Ω▓░∞▒à_6a636e9924.md	01장_01_『현대인의 의식수준』 제1장 「해결책」_6a636e99.md	b60cbab9e20eeb8c04026acd9deb7258e32c572bd37de6720349e45a4d4c58fa
현대인의의식수준	1	2	2026-07-28T16:07:43.335035+09:00	『현대인의 의식수준』 제1장 「개관」|「해결책」	6a685538-5b18-83e8-ab41-c329b132290f	publish_site/conversations/2026-07-28_φÿäδîÇ∞¥╕∞¥ÿ-∞¥ÿ∞ï¥∞êÿ∞ñÇ-∞á£1∞₧Ñ-Ω░£Ω┤Ç-φò┤Ω▓░∞▒à_6a6855385b.md	01장_02_『현대인의 의식수준』 제1장 「개관」_「해결책」_6a685538.md	32734046a17ba426d6a134e58d9eeb9141598878d4d36a4174290fc2241d947e
현대인의의식수준	2	1	2026-07-25T00:51:10.898024+09:00	『현대인의 의식수준』 제2장 「이미지의 최면 효과」	6a6389ea-9f80-83e8-86ca-70553115cfa8	publish_site/conversations/2026-07-25_φÿäδîÇ∞¥╕∞¥ÿ-∞¥ÿ∞ï¥∞êÿ∞ñÇ-∞á£2∞₧Ñ-∞¥┤δ»╕∞ºÇ∞¥ÿ-∞╡£δ⌐┤-φÜ¿Ω│╝_6a6389ea9f.md	02장_01_『현대인의 의식수준』 제2장 「이미지의 최면 효과」_6a6389ea.md	60a84b3b2f77507f62953d922a3f7c05a8ed99c20e650aca16a2e3bccb0be87d
현대인의의식수준	2	2	2026-07-25T01:11:45.818647+09:00	『현대인의 의식수준』 제2장 「보호장치」·「해결책」	6a638ebd-3ae4-83ee-8ff4-ad20fe97518a	publish_site/conversations/2026-07-25_φÿäδîÇ∞¥╕∞¥ÿ-∞¥ÿ∞ï¥∞êÿ∞ñÇ-∞á£2∞₧Ñ-δ│┤φÿ╕∞₧Ñ∞╣ÿ-φò┤Ω▓░∞▒à_6a638ebd3a.md	02장_02_『현대인의 의식수준』 제2장 「보호장치」·「해결책」_6a638ebd.md	00156509465383421fc5c8c986a45afaa4a94bf470013836ceb0d924641dbd02
현대인의의식수준	2	3	2026-07-28T16:49:30.773083+09:00	『현대인의 의식수준』 제2장 「인간의 딜레마」| 「들어가며」·「진화로 인한 스트레스」	6a685f07-c7e0-83ee-b7e7-af23e618d767	publish_site/conversations/2026-07-28_φÿäδîÇ∞¥╕∞¥ÿ-∞¥ÿ∞ï¥∞êÿ∞ñÇ-∞á£2∞₧Ñ-∞¥╕Ω░ä∞¥ÿ-δö£δáêδºê-δôñ∞û┤Ω░Çδ⌐░-∞ºäφÖöδí£-∞¥╕φò£-∞èñφè╕δáê∞èñ_6a685f07c7.md	02장_03_『현대인의 의식수준』 제2장 「인간의 딜레마」_ 「들어가며」·「진화로 인한 스트레스」_6a685f07.md	833733b8cdd7866294a2e3f87b7e2125e2c6433673dbc25dc3feea6559a369e3
